Monthly and Yearly 
Site Name: 
Site Number: 04045500
HUC: 
Area (mi^2): 
1990~1991,  830.65,  746.70,  653.53,  351.62,  310.52,  467.78, 2222.11, 1029.71,  345.28,  201.37,  182.85,  214.41,   629.6
1991~1992,  443.02,  625.23,  792.46,  508.22,  375.70,  435.75, 1170.57, 1067.69,  390.42,  599.47,  305.27,  305.45,   586.2
1992~1993,  663.92,  965.93,  841.11,  497.30,  367.33,  306.43, 1580.82, 1557.33,  926.36,  713.38,  524.05,  415.09,   781.2
1993~1994,  782.14,  869.69,  707.47,  332.73,  285.09,  329.79, 1199.08, 1357.74,  604.30,  477.91,  408.49,  428.65,   650.2
1994~1995,  421.77,  584.50,  609.34,  365.65,  296.77,  596.46, 1386.88, 1153.06,  393.28,  254.86,  251.08,  269.73,   549.5
1995~1996,  716.78, 1134.72,  480.77,  470.22,  640.57,  467.94, 1120.57, 2412.71,  439.91,  585.47,  744.24,  345.30,   798.3
1996~1997,  864.56, 1138.65,  766.22,  547.71,  545.70,  467.76, 1580.99, 1962.84,  440.63,  357.38,  192.24,  260.20,   761.1
1997~1998,  314.24,  435.57,  464.71,  338.56,  427.95,  580.11, 1532.56,  313.96,  321.62,  209.38,  166.57,  213.46,   441.3
1998~1999,  327.93,  468.28,  560.35,  299.19,  575.74,  639.48, 1630.28,  366.44,  384.68,  297.65,  267.70,  219.51,   500.6
1999~2000,  477.76,  520.97,  415.51,  312.72,  335.53, 1581.25, 1192.33,  344.81,  252.67,  239.86,  146.18,  157.91,   499.1
2000~2001,  208.38,  274.26,  275.29,  246.63,  278.63,  384.89, 1905.63, 1267.13,  513.34,  214.55,  247.45,  408.13,   517.9
2001~2002, 1162.98, 1180.71, 1217.03,  554.98,  393.24,  645.02, 1950.76, 2272.22,  723.86,  334.79,  368.97,  227.92,   922.6
2002~2003,  570.55,  549.10,  406.08,  343.60,  301.28,  406.87, 1789.24, 1526.67,  361.99,  232.62,  256.19,  220.36,   581.0
2003~2004,  373.61,  605.50,  607.84,  450.44,  329.57,  484.88, 2082.29, 1373.74,  923.67,  405.10,  234.04,  248.14,   676.3
2004~2005,  463.11, 1076.04,  829.75,  626.21,  431.19,  350.85, 1627.26,  792.00,  297.03,  163.49,  181.88,  209.80,   586.3
2005~2006,  423.72,  726.22,  694.62,  434.77,  413.48,  543.84, 1728.74,  513.89,  263.20,  173.93,  195.62,  196.27,   524.4
2006~2007,  506.92,  627.98,  766.96,  754.66,  324.91,  453.15, 1831.39,  547.89,  218.07,  148.51,  124.15,  217.10,   543.3
