#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-01-29 11:35:02 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04045500 TAHQUAMENON RIVER NEAR PARADISE, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		70273	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	04045500	00060	70273	1963	6	480.1
USGS	04045500	00060	70273	1963	7	208.7
USGS	04045500	00060	70273	1963	8	259.3
USGS	04045500	00060	70273	1963	9	426.8
USGS	04045500	00060	70273	1963	10	255.8
USGS	04045500	00060	70273	1963	11	583.9
USGS	04045500	00060	70273	1963	12	703.4
USGS	04045500	00060	70273	1964	1	412.3
USGS	04045500	00060	70273	1964	2	463.8
USGS	04045500	00060	70273	1964	3	567.0
USGS	04045500	00060	70273	1964	4	2572
USGS	04045500	00060	70273	1964	5	1830
USGS	04045500	00060	70273	1964	6	353.9
USGS	04045500	00060	70273	1964	7	254.5
USGS	04045500	00060	70273	1964	8	359.5
USGS	04045500	00060	70273	1964	9	529.3
USGS	04045500	00060	70273	1964	10	682.7
USGS	04045500	00060	70273	1964	11	772.8
USGS	04045500	00060	70273	1964	12	735.2
USGS	04045500	00060	70273	1965	1	490.3
USGS	04045500	00060	70273	1965	2	508.0
USGS	04045500	00060	70273	1965	3	529.6
USGS	04045500	00060	70273	1965	4	2159
USGS	04045500	00060	70273	1965	5	2829
USGS	04045500	00060	70273	1965	6	558.9
USGS	04045500	00060	70273	1965	7	298.5
USGS	04045500	00060	70273	1965	8	382.2
USGS	04045500	00060	70273	1965	9	937.9
USGS	04045500	00060	70273	1965	10	1337
USGS	04045500	00060	70273	1965	11	1348
USGS	04045500	00060	70273	1965	12	1312
USGS	04045500	00060	70273	1966	1	691.9
USGS	04045500	00060	70273	1966	2	765.2
USGS	04045500	00060	70273	1966	3	1238
USGS	04045500	00060	70273	1966	4	2093
USGS	04045500	00060	70273	1966	5	1049
USGS	04045500	00060	70273	1966	6	914.2
USGS	04045500	00060	70273	1966	7	227.3
USGS	04045500	00060	70273	1966	8	328.5
USGS	04045500	00060	70273	1966	9	259.9
USGS	04045500	00060	70273	1966	10	921.5
USGS	04045500	00060	70273	1966	11	1218
USGS	04045500	00060	70273	1966	12	1756
USGS	04045500	00060	70273	1967	1	658.1
USGS	04045500	00060	70273	1967	2	768.4
USGS	04045500	00060	70273	1967	3	591.7
USGS	04045500	00060	70273	1967	4	4011
USGS	04045500	00060	70273	1967	5	1195
USGS	04045500	00060	70273	1967	6	609.4
USGS	04045500	00060	70273	1967	7	406.8
USGS	04045500	00060	70273	1967	8	418.2
USGS	04045500	00060	70273	1967	9	288.0
USGS	04045500	00060	70273	1967	10	524.6
USGS	04045500	00060	70273	1967	11	1008
USGS	04045500	00060	70273	1967	12	606.0
USGS	04045500	00060	70273	1968	1	401.3
USGS	04045500	00060	70273	1968	2	466.7
USGS	04045500	00060	70273	1968	3	892.0
USGS	04045500	00060	70273	1968	4	3600
USGS	04045500	00060	70273	1968	5	1115
USGS	04045500	00060	70273	1968	6	848.1
USGS	04045500	00060	70273	1968	7	639.1
USGS	04045500	00060	70273	1968	8	501.7
USGS	04045500	00060	70273	1968	9	787.5
USGS	04045500	00060	70273	1968	10	1005
USGS	04045500	00060	70273	1968	11	821.8
USGS	04045500	00060	70273	1968	12	1007
USGS	04045500	00060	70273	1969	1	695.4
USGS	04045500	00060	70273	1969	2	750.4
